X,Y,Depth (m)
363621.14891652676,5800995.245340064,7.79
363620.59781883616,5800994.790915983,7.81
363619.99393378233,5800994.325710061,7.85
363619.335306146,5800993.877600757,7.90
363618.6682583486,5800993.420820767,7.95
363618.0203442486,5800992.965737305,8.02
363617.3822431546,5800992.520399121,8.06
363616.7430606921,5800992.060622284,8.11
363616.07294924743,5800991.591684702,8.14
363615.3804479137,5800991.151191163,8.17
363614.65076004935,5800990.721743596,8.20
363613.92326535576,5800990.322285719,8.26
363613.1868539992,5800989.9208487645,8.28
363612.4351801548,5800989.509817542,8.36
363611.66870952083,5800989.081388355,8.43
363610.92208452476,5800988.655748971,8.47
363610.2477151267,5800988.27930677,8.51
363609.6259750624,5800987.932571374,8.54
363609.0128517181,5800987.5277229585,8.57
363608.3826726818,5800987.097748255,8.57
363607.72870267445,5800986.744114259,8.61
363607.10437947314,5800986.476471772,8.63
363606.5041387931,5800986.241552051,8.66
363605.8904061189,5800985.962486872,8.65
363605.2814762321,5800985.6599164,8.69
363604.66195961053,5800985.34428332,8.72
363603.98513366835,5800985.026897523,8.75
363603.30792629014,5800984.769622939,8.78
363602.5939593363,5800984.563449643,8.82
363601.8023368115,5800984.383911141,8.85
363601.03305722016,5800984.2727587335,8.87
363600.28451602475,5800984.196647611,8.89
363599.5003701239,5800984.114844211,8.91
363598.737520669,5800984.06361476,8.93
363597.95760759944,5800984.036230151,8.95
363597.14964012185,5800984.029655678,8.97
363596.35355610267,5800984.058367582,8.99
363595.53034510725,5800984.116767754,9.01
363594.6816157127,5800984.213715478,9.02
363593.84665938024,5800984.340332416,9.02
363593.0245179307,5800984.486628322,9.02
363592.1689652718,5800984.6572216,9.04
363591.30978748295,5800984.844609975,9.04
363590.48983568524,5800985.045381411,9.06
363589.6655160526,5800985.260742541,9.06
363588.83354988135,5800985.470750598,9.06
363587.98325419705,5800985.6834921045,9.07
363587.13199254416,5800985.935214578,9.08
363586.29496971663,5800986.20880254,9.09
363585.4442007726,5800986.478319253,9.11
363584.58160603535,5800986.7392596705,9.10
