"UTC,""Depth..m."",""mid_latitude"",""mid_longitude"""
151443,5.53,52.342266385,12.994048075
151444,5.53,52.34226739,12.994047235
151445,5.51,52.342268335,12.994046525
151446,5.5,52.34226925,12.994045945
151447,5.48,52.342270155,12.994045455
151448,5.46,52.342271035,12.99404509
151449,5.43,52.342271895,12.994044805
151450,5.41,52.342272735,12.994044635
151451,5.4,52.34227351,12.994044465
151452,5.39,52.34227427,12.9940444
151453,5.39,52.342275035,12.9940444
151454,5.39,52.34227577,12.994044375
151455,5.39,52.34227646,12.994044435
151456,5.39,52.3422771,12.994044595
151457,5.4,52.34227765,12.99404487
151458,5.41,52.342278105,12.994045225
151459,5.42,52.342278565,12.99404562
151500,5.44,52.342279,12.994046115
151501,5.43,52.342279385,12.994046755
151502,5.45,52.342279635,12.994047605
151503,5.46,52.34227963,12.99404901
151504,5.49,52.34227917,12.994051965
151505,5.52,52.34227854,12.99405726
151506,5.54,52.34227832,12.994063925
151507,5.55,52.342278455,12.99407064
151508,5.56,52.34227884,12.994077045
151509,5.58,52.34227943,12.994083185
151510,5.57,52.342280175,12.994089035
151511,5.59,52.34228104,12.994094515
151512,5.61,52.34228199,12.99409971
151513,5.61,52.342283,12.994104615
151514,5.62,52.342284035,12.9941092
151515,5.61,52.34228516,12.99411367
151516,5.61,52.342286365,12.994118225
151517,5.62,52.34228758,12.994123195
151518,5.63,52.342288625,12.994129175
151519,5.64,52.3422891,12.99413642
151520,4.56,52.34228878,12.99414416
151521,3.47,52.342287955,12.99415138
151522,5.68,52.34228683,12.994157745
151523,5.71,52.342285495,12.994163305
151524,5.71,52.34228415,12.99416818
151525,5.73,52.342282755,12.99417239
151526,5.75,52.34228119,12.994176125
151527,5.76,52.3422795,12.994179695
151528,5.77,52.34227778,12.994183245
151529,5.78,52.34227606,12.994186825
151530,5.79,52.342274415,12.994190495
151531,5.81,52.342272815,12.99419423
151532,5.82,52.3422712,12.994198015
151533,5.84,52.34226965,12.994202035
151534,5.87,52.342268125,12.99420637
151535,5.88,52.342266595,12.994211085
151536,5.88,52.34226514,12.994216425
151537,5.9,52.34226384,12.994222445
151538,5.93,52.342262715,12.99422891
151539,5.94,52.34226188,12.99423564
151540,5.95,52.342261255,12.99424249
151541,5.97,52.342260775,12.99424951
151542,5.98,52.342260465,12.99425663
151543,6,52.342260305,12.9942637
151544,6,52.342260305,12.99427069
151545,6.02,52.342260415,12.9942776
151546,6.03,52.34226061,12.99428455
151547,6.04,52.34226079,12.994291645
151548,6.06,52.342260895,12.99429898
151549,6.07,52.342260895,12.994306495
151550,6.1,52.34226077,12.994313985
151551,6.11,52.34226067,12.99432117
151552,6.13,52.342260595,12.994328015
151553,6.14,52.3422605,12.99433491
151554,6.15,52.342260535,12.99434205
151555,6.16,52.34226068,12.994349315
151556,6.17,52.342260965,12.99435716
151557,6.18,52.342261385,12.994365915
151558,6.23,52.342261875,12.994375115
151559,6.23,52.34226247,12.99438443
151600,6.24,52.342263165,12.99439388
151601,6.27,52.34226384,12.994403435
151602,6.28,52.34226444,12.99441267
151603,6.3,52.342264845,12.994421145
151604,6.3,52.342264975,12.99442901
151605,6.32,52.342264905,12.994436675
151606,6.34,52.34226484,12.994444685
151607,6.36,52.342264895,12.994453245
151608,6.36,52.342264835,12.994461915
151609,6.4,52.342264345,12.99447062
151610,6.44,52.342263355,12.99447931
151611,6.48,52.342262095,12.994487705
151612,6.47,52.3422606,12.994495705
151613,6.5,52.342258895,12.994503375
151614,6.53,52.342257105,12.994510705
151615,6.52,52.3422553,12.994517775
151616,6.54,52.342253475,12.994524785
151617,6.55,52.34225163,12.994531905
151618,6.6,52.34224982,12.99453922
151619,6.61,52.34224813,12.99454664
151620,6.62,52.34224662,12.99455414
151621,6.64,52.342245215,12.99456171
151622,6.65,52.34224397,12.994569335
151623,6.68,52.342242915,12.99457693
151624,6.69,52.342241865,12.994584295
151625,6.71,52.342240795,12.994591425
151626,6.75,52.342239735,12.994598435
151627,6.74,52.342238655,12.99460527
151628,6.75,52.342237575,12.994612055
151629,6.77,52.342236495,12.994618955
151630,6.79,52.342235365,12.99462604
151631,6.81,52.34223408,12.99463323
151632,6.83,52.3422326,12.994640315
151633,6.85,52.342230855,12.99464711
151634,6.88,52.342228885,12.994653635
151635,6.89,52.34222674,12.994659975
151636,6.91,52.34222441,12.99466615
151637,6.91,52.342221995,12.99467231
151638,6.95,52.34221954,12.994678505
151639,6.98,52.342217045,12.994684765
151640,6.99,52.3422145,12.99469114
151641,7,52.342211925,12.994697545
151642,7.02,52.3422093,12.994704075
151643,7.05,52.342206635,12.994710805
151644,7.06,52.34220408,12.99471761
151645,7.08,52.34220164,12.99472452
151646,7.11,52.342199215,12.994731585
151647,7.12,52.342196825,12.994738755
151648,7.13,52.342194545,12.994746025
151649,7.14,52.34219236,12.99475334
151650,7.16,52.34219024,12.9947607
151651,7.18,52.34218822,12.99476815
151652,7.2,52.342186265,12.994775695
151653,7.22,52.34218436,12.99478333
151654,7.23,52.342182475,12.994790895
151655,7.25,52.342180525,12.99479839
151656,7.26,52.34217849,12.994805855
151657,7.28,52.34217644,12.994813305
151658,7.3,52.34217437,12.994820705
151659,7.32,52.34217226,12.994828065
151700,7.35,52.3421701,12.994835485
151701,7.36,52.34216785,12.994842915
151702,7.38,52.34216556,12.99485036
151703,7.4,52.342163225,12.994857795
151704,7.42,52.34216084,12.994865145
151705,7.44,52.34215846,12.99487237
151706,7.44,52.34215607,12.994879565
151707,7.46,52.34215374,12.99488692
151708,7.48,52.342151495,12.994894435
151709,7.49,52.34214922,12.99490198
151710,7.51,52.34214694,12.994909505
151711,7.53,52.34214468,12.994917045
151712,7.53,52.342142465,12.99492462
151713,7.55,52.342140315,12.99493229
