"UTC","Depth..m.","BESTPOSA_Spalte12","BESTPOSA_Spalte13"
150730,7.48,"52.34242406","12.99625679"
150731,7.45,"52.34242661","12.99624400"
150732,7.44,"52.34242922","12.99623191"
150733,7.42,"52.34243167","12.99621953"
150734,7.41,"52.34243395","12.99620711"
150735,7.39,"52.34243621","12.99619462"
150736,7.38,"52.34243869","12.99618232"
150737,7.36,"52.34244126","12.99616986"
150738,7.35,"52.34244376","12.99615709"
150739,7.33,"52.34244628","12.99614454"
150740,7.32,"52.34244890","12.99613240"
150741,7.29,"52.34245123","12.99612031"
150742,7.28,"52.34245319","12.99610800"
150743,7.27,"52.34245512","12.99609536"
150744,7.25,"52.34245764","12.99608288"
150745,7.25,"52.34246017","12.99607067"
150746,7.25,"52.34246243","12.99605823"
150747,7.24,"52.34246453","12.99604569"
150748,7.24,"52.34246676","12.99603301"
150749,7.22,"52.34246926","12.99602050"
150750,7.22,"52.34247145","12.99600829"
150751,7.21,"52.34247354","12.99599611"
150752,7.19,"52.34247542","12.99598363"
150753,7.17,"52.34247745","12.99597108"
150754,7.15,"52.34247986","12.99595837"
150755,7.15,"52.34248253","12.99594596"
150756,7.14,"52.34248490","12.99593318"
150757,7.12,"52.34248699","12.99592025"
150758,7.1,"52.34248911","12.99590747"
150759,7.09,"52.34249105","12.99589442"
150760,7.07,NA,NA
150801,7.07,"52.34249525","12.99586846"
150802,7.06,"52.34249714","12.99585545"
150803,7.06,"52.34249875","12.99584232"
150804,7.06,"52.34250031","12.99582930"
150805,7.05,"52.34250159","12.99581628"
150806,7.04,"52.34250281","12.99580322"
150807,7.02,"52.34250414","12.99578997"
150808,7.02,"52.34250559","12.99577688"
150809,7.01,"52.34250694","12.99576361"
150810,6.99,"52.34250848","12.99575040"
150811,6.97,"52.34250987","12.99573718"
150812,6.98,"52.34251128","12.99572388"
150813,6.96,"52.34251263","12.99571058"
150814,6.95,"52.34251425","12.99569751"
150815,6.94,"52.34251583","12.99568419"
150816,6.91,"52.34251751","12.99567104"
150821,6.85,"52.34252632","12.99560586"
150822,6.85,"52.34252801","12.99559280"
150823,6.84,"52.34252993","12.99558015"
150824,6.81,"52.34253173","12.99556749"
150825,6.8,"52.34253339","12.99555467"
150826,6.8,"52.34253505","12.99554165"
150827,6.78,"52.34253684","12.99552868"
150828,6.75,"52.34253897","12.99551581"
150829,6.75,"52.34254092","12.99550311"
150830,6.74,"52.34254259","12.99549018"
150831,6.71,"52.34254413","12.99547708"
150832,6.7,"52.34254589","12.99546446"
150833,6.67,"52.34254716","12.99545184"
150834,6.66,"52.34254834","12.99543923"
150835,6.65,"52.34254919","12.99542649"
150836,6.63,"52.34255022","12.99541356"
